room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
24240,97821,Entire home/apt,,North End,18,5.0,6,2.0,257.0,1,42.36366,-71.050232,2014-09-25 09:24:45.483
25142,25188,Entire home/apt,,Fenway,7,4.5,4,2.0,394.0,3,42.344865,-71.1026,2014-09-25 08:22:00.747
25418,25188,Entire home/apt,,West End,2,5.0,3,1.0,316.0,5,42.364945,-71.067668,2014-09-25 08:32:40.059
26160,46575,Private room,,Jamaica Plain,87,5.0,3,1.0,96.0,2,42.3195,-71.112318,2014-09-25 08:18:59.309
27141,25188,Entire home/apt,,South End,4,4.0,2,1.0,291.0,2,42.342586,-71.079691,2014-09-25 07:58:17.475
27546,119019,Private room,,Dorchester,109,4.5,3,1.0,68.0,1,42.298349,-71.059104,2014-09-25 09:15:45.292
27611,119381,Entire home/apt,,Jamaica Plain,2,4.5,2,0.0,200.0,3,42.315565,-71.114827,2014-09-25 09:46:48.094
28150,25188,Entire home/apt,,Back Bay,9,4.5,2,1.0,259.0,2,42.353975,-71.072612,2014-09-25 10:01:25.645
29155,25188,Entire home/apt,,Beacon Hill,13,4.5,6,3.0,515.0,2,42.356142,-71.074242,2014-09-25 09:51:11.417
29765,128280,Entire home/apt,,Charlestown,84,5.0,2,1.0,337.0,2,42.378338,-71.066627,2014-09-25 08:29:54.526
31796,119019,Private room,,Dorchester,167,4.5,4,1.0,63.0,1,42.299773,-71.060476,2014-09-25 08:20:57.759
37864,162705,Entire home/apt,,Back Bay,73,5.0,2,0.0,314.0,2,42.35086,-71.083071,2014-09-25 09:53:34.745
39116,167745,Private room,,Fenway,28,5.0,2,1.0,143.0,1,42.341343,-71.098624,2014-09-25 09:39:27.663
40601,174986,Private room,,Jamaica Plain,35,5.0,2,1.0,91.0,4,42.315099,-71.111079,2014-09-25 09:15:20.883
43460,189855,Entire home/apt,,Roxbury,122,4.5,4,2.0,171.0,3,42.319914,-71.080131,2014-09-25 09:35:07.612
44205,128280,Entire home/apt,,Charlestown,68,5.0,2,1.0,268.0,2,42.376551,-71.066769,2014-09-25 09:23:16.439
45987,205107,Entire home/apt,,Charlestown,70,4.5,3,1.0,171.0,3,42.374043,-71.061177,2014-09-25 09:20:03.086
47521,119019,Private room,,Dorchester,166,4.5,3,1.0,63.0,1,42.29772,-71.05924,2014-09-25 09:19:09.497
47722,25188,Private room,,Back Bay,0,,2,1.0,330.0,2,42.345991,-71.079859,2014-09-25 08:49:49.750
